ウルトラ怪獣擬人化計画feat.POP宇宙忍者バルタン星人完成品フィギュア[グリフォンエンタープライズ]《未定月予約※暫定》,,,,,商品コード,FIGURE-011885,発売日,１６年未定,ブランド名,グリフォンエンタープライズ,,シリーズ名,ウルトラ怪獣擬人化計画 feat.POP,,原作名,ウルトラ怪獣擬人化計画,『ウルトラマン』シリーズ,,キャラ名,バルタン星人,,,,,
ウルトラ怪獣擬人化計画feat.POP宇宙恐竜ゼットン完成品フィギュア(初回特典：限定カードシリアルコード)[グリフォンエンタープライズ]《未定月予約》,,,,,商品コード,FIGURE-011886,発売日,１６年未定,ブランド名,グリフォンエンタープライズ,,シリーズ名,ウルトラ怪獣擬人化計画 feat.POP,,原作名,ウルトラ怪獣擬人化計画,『ウルトラマン』シリーズ,,キャラ名,ゼットン,,,,,
一騎当千ExtravaganzaEpoch趙雲子龍・Bunnyスペシャル1/6完成品フィギュア[オルカトイズ]《０７月予約》,,,,,商品コード,FIGURE-012312,発売日,１６年０７月未定,ブランド名,ORCATOYS(オルカトイズ),,,,,原作名,一騎当千 Extravaganza Epoch,,,キャラ名,趙雲子龍,,,造型師,高橋剛[一期栄華一杯酒], 
IS〈インフィニット・ストラトス〉ブルー・ティアーズセシリア・オルコット1/8完成品フィギュア[あみあみ]【送料無料】《０７月予約》,備考,※あみあみ限定特典は付きません。※他の商品と同梱発送になる場合は別途送料が発生いたします。※代引手数料等、一部の決済手数料はご負担いただきます。,,,商品コード,FIGURE-012819,発売日,１６年０７月未定,ブランド名,大網(オオアミ),あみあみ,,,,原作名,IS〈インフィニット・ストラトス〉,『IS〈インフィニット・ストラトス〉』シリーズ,,キャラ名,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
四月は君の嘘宮園かをり1/8完成品フィギュア（再販）[グッドスマイルカンパニー]《１０月予約》,,,,,商品コード,FIGURE-012863-S001,発売日,１６年１０月未定,ブランド名,グッドスマイルカンパニー,,,,,原作名,四月は君の嘘,,,キャラ名,宮園かをり,,,造型師,ちかい[Windflower], 
キューポッシュガールズ＆パンツァー西住みほ可動フィギュア（再販）[コトブキヤ]《０８月予約》,,,,,商品コード,FIGURE-013165-S001,発売日,１６年０８月未定,ブランド名,KOTOBUKIYA(コトブキヤ),,シリーズ名,キューポッシュ,,原作名,ガールズ＆パンツァー,『ガールズ＆パンツァー』シリーズ,,キャラ名,西住みほ,,,,,
1/35ガールズ＆パンツァーあんこうチームフィギュアセットお掃除バージョンです！未塗装キット（再販）[プラッツ]《０６月予約》,,,,,商品コード,FIGURE-013424-S001,発売日,１６年０６月未定,ブランド名,Platz(プラッツ),,,,,原作名,ガールズ＆パンツァー,『ガールズ＆パンツァー』シリーズ,,キャラ名,西住みほ,秋山優花里,五十鈴華,,,
うるし原智志著「姦」春野麗・HarunoUrara-姦-CoverGirl1/6完成品フィギュア[花畑と美少女]《０７月予約※暫定》,,,,,商品コード,FIGURE-013592,発売日,１６年０７月未定,ブランド名,花畑と美少女,,,,,原作名,姦,,,キャラ名,春野麗,,,造型師,川崎和史, 
キャラクター・ボーカル・シリーズ01初音ミクグレイテスト・アイドルVer.1/8完成品フィギュア[グッドスマイルカンパニー]《０６月予約》,,,,,商品コード,FIGURE-013610,発売日,１６年０６月未定,ブランド名,グッドスマイルカンパニー,,,,,原作名,『VOCALOID』シリーズ,,,キャラ名,初音ミク,,,造型師,ATOMICBOM SUZUKI, 
ToHeart2ダンジョントラベラーズファイターささらLimitedgrade1/6完成品フィギュア[オルカトイズ]《０７月予約》,,,,,商品コード,FIGURE-013676,発売日,１６年０７月未定,ブランド名,ORCATOYS(オルカトイズ),,,,,原作名,ToHeart2 ダンジョントラベラーズ,『ダンジョントラベラーズ』シリーズ,,キャラ名,久寿川ささら,,,造型師,白髪隆行,
七つの大罪魔王黙示録強欲の章銃弑ウエスタン水着ノ節1/7完成品フィギュア[オーキッドシード]《０６月予約》,,,,,商品コード,FIGURE-013730,発売日,１６年０６月未定,ブランド名,オーキッドシード,,,,,原作名,七つの大罪,,,キャラ名,マモン,,,造型師,タナカマサノリ[ジェットストリーム], 
ウルトラ怪獣擬人化計画マグマ星人　完成品フィギュア[サプライズネクスト]《０６月予約※暫定》,,,,,商品コード,FIGURE-013799,発売日,１６年０６月未定,ブランド名,サプライズネクスト,,,,,原作名,ウルトラ怪獣擬人化計画,『ウルトラマン』シリーズ,,キャラ名,マグマ星人,,,造型師,サプライズネクスト,
リアルアクションヒーローズNo.740RAHFate/EXTRACCCセイバー・ブライド[メディコム・トイ]【送料無料】《０７月予約》,備考,※他の商品と同梱発送になる場合は別途送料が発生いたします。※代引手数料等、一部の決済手数料はご負担いただきます。,,,商品コード,FIGURE-013898,発売日,１６年０７月未定,ブランド名,メディコム・トイ,,シリーズ名,リアルアクションヒーローズ,,原作名,Fate/EXTRA CCC,『Fate』シリーズ,,,,,,,,
リアルアクションヒーローズNo.741RAHMGM劇場版魔法少女まどか☆マギカ百江なぎさ[メディコム・トイ]【送料無料】《０７月予約》,備考,※他の商品と同梱発送になる場合は別途送料が発生いたします。※代引手数料等、一部の決済手数料はご負担いただきます。,,,商品コード,FIGURE-013899,発売日,１６年０７月未定,ブランド名,メディコム・トイ,,シリーズ名,リアルアクションヒーローズ,,原作名,劇場版 魔法少女まどか☆マギカ [新編]叛逆の物語,魔法少女まどか☆マギカ,,,,,,,,
蒼き鋼のアルペジオ-アルス・ノヴァ-霧くまsイオナ完成品フィギュア[ファット・カンパニー]《０６月予約》,,,,,商品コード,FIGURE-014135,発売日,１６年０６月未定,ブランド名,ファット・カンパニー,,,,,原作名,蒼き鋼のアルペジオ -アルス・ノヴァ-,『蒼き鋼のアルペジオ』シリーズ,,キャラ名,イオナ(イ401),,,造型師,HIRO[ATELIER HIRO],
蒼き鋼のアルペジオ-アルス・ノヴァ-霧くまsキリシマ完成品フィギュア[ファット・カンパニー]《０６月予約》,,,,,商品コード,FIGURE-014136,発売日,１６年０６月未定,ブランド名,ファット・カンパニー,,,,,原作名,蒼き鋼のアルペジオ -アルス・ノヴァ-,『蒼き鋼のアルペジオ』シリーズ,,キャラ名,キリシマ(ヨタロウ),,,造型師,HIRO[ATELIER HIRO],
TERAエリーンバーサーカー完成品フィギュア[フレア]《０６月予約》,,,,,商品コード,FIGURE-014183,発売日,１６年０６月未定,ブランド名,フレア,,,,,原作名,TERA,,,キャラ名,エリーン,,,造型師,French Doll[Cerberus Project TM], 
楽園追放-ExpelledfromParadise-アンジェラ・バルザック1/7完成品フィギュア[ファット・カンパニー]《０６月予約》,,,,,商品コード,FIGURE-014193,発売日,１６年０６月未定,ブランド名,ファット・カンパニー,,シリーズ名,ファット・カンパニー 1/7 完成品フィギュア,,原作名,楽園追放 Expelled from Paradise,,,キャラ名,アンジェラ バルザック,フロンティアセッター,,,,
がっこうぐらし！丈槍由紀(ゆき)完成品フィギュア[ディ・モールトベネ]《０８月予約》,,,,,商品コード,FIGURE-014277,発売日,１６年０８月未定,ブランド名,ディ・モールト ベネ,,,,,原作名,がっこうぐらし！,,,キャラ名,丈槍由紀,,,造型師,魔王, 
ばくおん！！鈴乃木凜＆GSX400Sカタナ1/10完成品フィギュア[ファット・カンパニー]《０６月予約》,,,,,商品コード,FIGURE-014421,発売日,１６年０６月未定,ブランド名,ファット・カンパニー,,シリーズ名,ファット・カンパニー 1/7 完成品フィギュア,,原作名,ばくおん!!,,,キャラ名,鈴乃木凜,,,造型師,,
食戟のソーマ薙切えりな1/8完成品フィギュア[グッドスマイルカンパニー]《０６月予約》,,,,,商品コード,FIGURE-014553,発売日,１６年０６月未定,ブランド名,グッドスマイルカンパニー,,,,,原作名,食戟のソーマ,,,キャラ名,薙切えりな,,,造型師,根本克昭, 
キャラクター・ボーカル・シリーズ02鏡音リンTonyVer.1/7完成品フィギュア[マックスファクトリー]《０７月予約》,,,,,商品コード,FIGURE-014651,発売日,１６年０７月未定,ブランド名,マックスファクトリー,,,,,原作名,『VOCALOID』シリーズ,,,キャラ名,鏡音リン,,,造型師,智恵理[マックスファクトリー], 
キャラクター・ボーカル・シリーズ02鏡音レンTonyVer.1/7完成品フィギュア[マックスファクトリー]《０７月予約》,,,,,商品コード,FIGURE-014652,発売日,１６年０７月未定,ブランド名,マックスファクトリー,,,,,原作名,『VOCALOID』シリーズ,,,キャラ名,鏡音レン,,,造型師,智恵理[マックスファクトリー], 
ちょこすたDRACU-RIOT！エリナ・オレゴヴナ・アヴェーン完成品フィギュア[ブロッコリー]《０７月予約》,,,,,商品コード,FIGURE-014669,発売日,１６年０７月未定,ブランド名,ブロッコリー,,シリーズ名,ちょこすた,,原作名,DRACU-RIOT！,,,キャラ名,エリナ・オレゴヴナ・アヴェーン,,,造型師,,
【あみあみ限定特典】ちょこすたDRACU-RIOT！エリナ・オレゴヴナ・アヴェーン完成品フィギュア[ブロッコリー]《０７月予約》,備考,※あみあみ限定特典が付きます。,,,商品コード,FIGURE-014670,発売日,１６年０７月未定,ブランド名,ブロッコリー,,シリーズ名,ちょこすた,,原作名,DRACU-RIOT！,,,キャラ名,,,,,,
ちょこすた天色*アイルノーツシャーリィ・ウォリック完成品フィギュア[ブロッコリー]《０７月予約》,,,,,商品コード,FIGURE-014671,発売日,１６年０７月未定,ブランド名,ブロッコリー,,シリーズ名,ちょこすた,,原作名,天色＊アイルノーツ,,,キャラ名,シャーリィ・ウォリック,,,造型師,,
【あみあみ限定特典】ちょこすた天色*アイルノーツシャーリィ・ウォリック完成品フィギュア[ブロッコリー]《０７月予約》,備考,※あみあみ限定特典が付きます。,,,商品コード,FIGURE-014672,発売日,１６年０７月未定,ブランド名,ブロッコリー,,シリーズ名,ちょこすた,,原作名,天色＊アイルノーツ,,,キャラ名,,,,,,
ちょこすた超次元ゲイムネプテューヌネプギア完成品フィギュア[ブロッコリー]《０７月予約》,,,,,商品コード,FIGURE-014673,発売日,１６年０７月未定,ブランド名,ブロッコリー,,シリーズ名,ちょこすた,,原作名,超次元ゲイム ネプテューヌ,『ネプテューヌ』シリーズ,,キャラ名,ネプギア(パープルシスター),,,,,
