装甲悪鬼村正三世村正ナースver.1/6完成品フィギュア[スカイチューブ]《０６月予約》,商品コード,FIGURE-015929,発売日,１６年０６月未定,ブランド名,SkyTube(スカイチューブ),原作名,装甲悪鬼村正,キャラ名,三世村正,造型師,HIRO, ,
一騎当千集鍔闘士血風録孫策伯符バスタオルVer.1/5完成品フィギュア[アイズ・プロジェクト]《０５月予約※暫定》,商品コード,FIGURE-015967,発売日,１６年０５月未定,ブランド名,AIZU PROJECT(アイズ・プロジェクト),原作名,一騎当千 集鍔闘士血風録,『一騎当千』シリーズ,キャラ名,孫策伯符,造型師,對馬琢章[Fig.1],
ロウきゅーぶ！SS湊智花～ウェディングVer.～1/7完成品フィギュア[プラム]《０７月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-016130,発売日,１６年０７月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,ロウきゅーぶ！SS,ロウきゅーぶ！,キャラ名,
【あみあみ限定特典】ロウきゅーぶ！SS湊智花～ウェディングVer.～1/7完成品フィギュア[プラム]《０７月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-016131,発売日,１６年０７月未定,ブランド名,ピーエムオフィスエー,PLUM(プラム),原作名,ロウきゅーぶ！SS,ロウきゅーぶ！,キャラ名,
S-styleすーぱーそに子水着Ver.1/12塗装済み組み立てフィギュア[フリーイング]《０６月予約》,商品コード,FIGURE-016133,発売日,１６年０６月未定,ブランド名,FREEing(フリーイング),原作名,『すーぱーそに子』シリーズ,ニトロプラス,キャラ名,すーぱーそに子,造型師,FREEing,
キューティーハニーInfinitePremiumver.OC(originalcolor)1/6完成品フィギュア[オルカトイズ]《０７月予約》,商品コード,FIGURE-016229,発売日,１６年０７月未定,ブランド名,ORCATOYS(オルカトイズ),原作名,キューティーハニー,永井豪,キャラ名,如月ハニー(キューティーハニー),造型師,藤井たかし,
Fate/GrandOrderセイバー/沖田総司1/7完成品フィギュア[アクアマリン]《０６月予約》,商品コード,FIGURE-016314,発売日,１６年０６月未定,ブランド名,アクアマリン,原作名,Fate/Grand Order,『Fate』シリーズ,キャラ名,桜セイバー(沖田総司),造型師,かわにしけん,
神撃のバハムートディアドラグーン・フォルテ1/8完成品フィギュア[コトブキヤ]《０６月予約》,商品コード,FIGURE-016315,発売日,１６年０６月未定,ブランド名,KOTOBUKIYA(コトブキヤ),シリーズ名,コトブキヤ 完成品フィギュア,コトブキヤ 1/8 完成品フィギュア,原作名,神撃のバハムート,キャラ名,ディアドラグーン・フォルテ,
【あみあみ限定特典】AngelBeats！-1stbeat-「天使」1/8完成品フィギュア[ブロッコリー]《０８月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-016488,発売日,１６年０８月未定,ブランド名,ブロッコリー,原作名,Angel Beats！ -1st beat-,『Angel Beats！』シリーズ,ビジュアルアーツ,キャラ名,
秘書課初美ゆき1/7完成品フィギュア[ダイキ工業]《０７月予約》,商品コード,FIGURE-016701,発売日,１６年０７月未定,ブランド名,ダイキ工業,原作名,≪オリジナルキャラクター≫,キャラ名,初美ゆき,造型師,CL, ,
B-STYLEキャラクター・ボーカル・シリーズ01初音ミクSNOWMIKU1/4完成品フィギュア[フリーイング]【送料無料】《０７月予約》,備考,※他の商品と同梱発送になる場合は別途送料が発生いたします。※代引手数料等、一部の決済手数料はご負担いただきます。,商品コード,FIGURE-016772,発売日,１６年０７月未定,ブランド名,FREEing(フリーイング),原作名,『VOCALOID』シリーズ,キャラ名,初音ミク,造型師,
一騎当千集鍔闘士血風録孫策伯符バスタオルVer.【日焼け版】1/5完成品フィギュア[アイズ・プロジェクト]《０６月予約※暫定》,商品コード,FIGURE-017048,発売日,１６年０６月未定,ブランド名,AIZU PROJECT(アイズ・プロジェクト),原作名,一騎当千 集鍔闘士血風録,『一騎当千』シリーズ,キャラ名,孫策伯符,造型師,對馬琢章[Fig.1],
サノバウィッチ椎葉紬1/7完成品フィギュア[ブロッコリー]《１０月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-017120,発売日,１６年１０月未定,ブランド名,ブロッコリー,原作名,サノバウィッチ,キャラ名,椎葉紬,造型師,
【あみあみ限定特典】サノバウィッチ椎葉紬1/7完成品フィギュア[ブロッコリー]《１０月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-017121,発売日,１６年１０月未定,ブランド名,ブロッコリー,原作名,サノバウィッチ,キャラ名,椎葉紬,造型師,
【特典】エクセレントモデルCOREビキニ・ウォリアーズEXメイジ【DXVer.】1/8完成品フィギュア[メガハウス]《０６月予約》,備考,※こちらの商品はメガトレショップ、あみあみ、他一部店舗限定での取り扱いとなります。,商品コード,FIGURE-017166,発売日,１６年０６月下旬,ブランド名,MegaHouse(メガハウス),シリーズ名,『エクセレントモデル』シリーズ,エクセレントモデルCORE,原作名,ビキニ・ウォリアーズ,
セブンスドラゴンIIIcode：VFDフォーチュナー(ムルムル)1/7完成品フィギュア[コトブキヤ]《０７月予約》,商品コード,FIGURE-017213,発売日,１６年０７月未定,ブランド名,KOTOBUKIYA(コトブキヤ),シリーズ名,コトブキヤ 完成品フィギュア,コトブキヤ 1/7 完成品フィギュア,原作名,セブンスドラゴンIII code：VFD,セブンスドラゴン,キャラ名,
キューポッシュフレンズシェリー-Cherie-可動フィギュア[コトブキヤ]《０８月予約》,商品コード,FIGURE-017269,発売日,１６年０８月未定,ブランド名,KOTOBUKIYA(コトブキヤ),シリーズ名,キューポッシュ,キューポッシュフレンズ,原作名,キューポッシュ,キャラ名,シェリー,
三国志大戦トレーディングカードゲーム何太后1/7完成品フィギュア[ヴェルテクス]《０８月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-017387,発売日,１６年０８月未定,ブランド名,ヴェルテクス,原作名,三国志大戦,キャラ名,何太后,造型師,
【あみあみ限定特典】三国志大戦トレーディングカードゲーム何太后1/7完成品フィギュア[ヴェルテクス]《０８月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-017388,発売日,１６年０８月未定,ブランド名,ヴェルテクス,原作名,三国志大戦,キャラ名,何太后,造型師,
【あみあみ限定特典】ソードアート・オンラインシリカ1/8完成品フィギュア[ブロッコリー]《０７月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-017492,発売日,１６年０７月未定,ブランド名,ブロッコリー,原作名,ソードアート・オンライン,『ソードアート・オンライン』シリーズ,キャラ名,綾野珪子(シリカ),
戦場のヴァルキュリアDUELセルベリア・ブレス-EverlastingSummer-1/6完成品フィギュア[ヴェルテクス]《０７月予約》,備考,※あみあみ限定特典は付きません。,商品コード,FIGURE-017503,発売日,１６年０７月未定,ブランド名,ヴェルテクス,原作名,戦場のヴァルキュリア DUEL,『戦場のヴァルキュリア』シリーズ,キャラ名,セルベリア・ブレス,
【あみあみ限定特典】戦場のヴァルキュリアDUELセルベリア・ブレス-EverlastingSummer-1/6完成品フィギュア[ヴェルテクス]《０７月予約》,備考,※あみあみ限定特典が付きます。,商品コード,FIGURE-017504,発売日,１６年０７月未定,ブランド名,ヴェルテクス,原作名,戦場のヴァルキュリア DUEL,『戦場のヴァルキュリア』シリーズ,キャラ名,セルベリア・ブレス,
花の妖精さんマリア・ベルナール完成品フィギュア[ダイキ工業]《０８月予約》,商品コード,FIGURE-017706,発売日,１６年０８月未定,ブランド名,ダイキ工業,造型師,グラビアンスキー, ,<li class="selling_price_caption">商品ページQRコード,<li class="selling_price">,<img src="http://www.amiami.jp/top/qrcode?page=top%2Fdetail%2Fdetail%3Fscode%3DFIGURE-017706&size=100">, おまかせ！ログレコメンダー ,
【特典】エクセレントモデルCOREビキニ・ウォリアーズEXパラディン1/8完成品フィギュア[メガハウス]《０８月予約》,備考,※こちらの商品はメガトレショップ、あみあみ、他一部店舗限定での取り扱いとなります。,商品コード,FIGURE-017741,発売日,１６年０８月下旬,ブランド名,MegaHouse(メガハウス),シリーズ名,『エクセレントモデル』シリーズ,エクセレントモデルCORE,原作名,ビキニ・ウォリアーズ,
